Date,Description,Debit,Credit,Cards,Purchase Type,Transaction Type,Monthly
3/2/2023,Citi,63.76,0,0,Credit Card,B,N
2/17/2023,Citi,1306.23,0,0,Credit Card,B,N
2/21/2023,Citi,29,0,0,Credit Card,B,N
1/26/2023,Citi Card,1306.23,0,0,Credit Card,B,Y
1/25/2023,Citizens,191.28,0,0,Loan,B,Y
1/5/2023,City of Austin,133.88,0,0,Utilities,B,Y
1/18/2023,7-eleven,0.77,0,2675,Gas,B,N
1/18/2023,Overdrawn Fee,34,0,0,Fee,B,N
2/26/2023,Costco,148.74,0,9031,Groceries,P,Y
1/18/2023,Walgreens,115.12,0,9031,Medical,B,N
1/6/2023,Crate & Barrel,147,0,0,Credit Card,B,Y
1/31/2023,Credit One,100,0,0,Credit Card,B,Y
1/30/2023,Credit One,100,0,0,Credit Card,B,Y
2/3/2023,Crossroads Utilities,38.94,0,718,Utilities,B,Y
1/4/2023,Crossroads Utilities,37.69,0,718,Utilities,B,Y
3/4/2023,Deposit,0,2417.23,0,Revenue,B,N
3/3/2023,Deposit,0,15354.71,0,Revenue,B,N
3/3/2023,Deposit,0,2165,0,Revenue,B,N
3/2/2023,Deposit,0,3351.42,0,Revenue,B,N
3/2/2023,Deposit,0,2961.72,0,Revenue,B,N
3/1/2023,Deposit,0,101.46,0,Revenue,B,N
2/2/2023,Deposit,0,135.31,0,Revenue,B,N
2/9/2023,Deposit,0,2048.88,1,Revenue,B,N
2/10/2023,Deposit,0,3851.54,0,Revenue,B,N
2/11/2023,Deposit,0,5087.75,0,Revenue,B,N
2/13/2023,Deposit,0,3620.96,0,Revenue,B,N
2/17/2023,Deposit,0,1474.45,0,Revenue,B,N
2/17/2023,Deposit,0,1920,0,Revenue,B,N
2/17/2023,Deposit,0,3844.75,0,Revenue,B,N
2/18/2023,Deposit,0,8367.73,0,Revenue,B,N
2/21/2023,Deposit,0,243.56,0,Revenue,B,N
2/21/2023,Deposit,0,3832.05,0,Revenue,B,N
2/21/2023,Deposit,0,9203.42,0,Revenue,B,N
2/22/2023,Deposit,0,8185.86,0,Revenue,B,N
2/22/2023,Deposit,0,12.94,0,Revenue,B,N
2/22/2023,Deposit,0,85.99,0,Revenue,B,N
2/23/2023,Deposit,0,827.22,0,Revenue,B,N
2/24/2023,Deposit,0,8736,0,Revenue,B,N
2/24/2023,Deposit,0,1690.95,0,Revenue,B,N
2/27/2023,Deposit,0,15132.48,0,Revenue,B,N
2/27/2023,Deposit,0,9934.1,0,Revenue,B,N
2/28/2023,Deposit,0,5304.25,0,Revenue,B,N
1/30/2023,Deposit,0,15132.48,0,Revenue,B,N
1/30/2023,Deposit,0,571.56,0,Revenue,B,N
1/30/2023,Deposit,0,571.56,0,Revenue,B,N
1/27/2023,Deposit,0,70.36,0,Revenue,B,N
1/27/2023,Deposit,0,15865.3,0,Revenue,B,N
1/25/2023,Deposit,0,1714.68,0,Revenue,B,N
1/24/2023,Deposit,0,23483.06,0,Revenue,B,N
1/24/2023,Deposit,0,857.34,1,Revenue,B,N
1/20/2023,Deposit,0,185,0,Revenue,B,N
1/18/2023,Deposit,0,106.01,0,Revenue,B,N
1/17/2023,Deposit,0,15904.67,0,Revenue,B,N
1/14/2023,Deposit,0,200,2675,Revenue,B,N
1/13/2023,Deposit,0,3950,0,Revenue,B,N
1/13/2023,Deposit,0,6273.09,0,Revenue,B,N
1/12/2023,Deposit,0,6973.44,0,Revenue,B,N
1/11/2023,Deposit,0,2048.88,1,Revenue,B,N
1/10/2023,Deposit,0,963.34,0,Revenue,B,N
1/9/2023,Deposit,0,487.13,0,Revenue,B,N
1/9/2023,Deposit,0,2382.95,0,Revenue,B,N
1/7/2023,Deposit,0,6029.53,0,Revenue,B,N
1/5/2023,Deposit,0,105.48,0,Revenue,B,N
1/4/2023,Deposit,0,893.06,0,Revenue,B,N
1/4/2023,Deposit,0,571.56,0,Revenue,B,N
1/4/2023,Deposit,0,571.56,0,Revenue,B,N
1/4/2023,Deposit,0,2048.88,0,Revenue,B,N
1/3/2023,Deposit,0,2054.59,0,Revenue,B,N
2/13/2023,Discover,287.83,0,0,Credit Card,B,Y
2/15/2023,Discover,500,0,0,Credit Card,B,Y
2/22/2023,Discover,656.2,0,0,Credit Card,B,Y
1/26/2023,Discover,656.2,0,0,Credit Card,B,Y
1/17/2023,Discover,500,0,0,Credit Card,B,Y
1/13/2023,Discover,186.56,0,0,Credit Card,B,Y
1/15/2023,Doordash Dashpass,9.99,0,9031,Food,P,N
1/4/2023,eBay,238.1,0,9031,Supplies,B,N
1/10/2023,Express Food Mart,45.99,0,2675,Food,P,N
1/17/2023,Farmers Insurance,682.74,0,0,Insurance,B,Y
1/5/2023,Farmers Insurance,666,0,0,Insurance,B,Y
1/24/2023,7-eleven,29.47,0,9031,Gas,B,N
1/25/2023,7-eleven,62.11,0,718,Gas,B,N
1/25/2023,Circle K,32.37,0,9031,Gas,B,N
1/25/2023,Circle K,65.63,0,9031,Gas,B,N
1/25/2023,Fee,34,0,0,Fee,B,N
1/25/2023,Fee,34,0,0,Fee,B,N
1/25/2023,Fee,34,0,0,Fee,B,N
1/25/2023,Fee,34,0,0,Fee,B,N
1/25/2023,Fee,34,0,0,Fee,B,N
1/25/2023,Fee,34,0,0,Fee,B,N
1/25/2023,Fee,34,0,0,Fee,B,N
1/25/2023,Fee,34,0,0,Fee,B,N
1/25/2023,Fee,34,0,0,Fee,B,N
