Date,Check,Description,Debit,Credit,Cards,Purchase Type
5/2/2024,3759,Check,175,0,nan,Contract Labor
5/6/2024,3760,Check,600,0,nan,Contract Labor
5/6/2024,3761,Check,1200,0,nan,Contract Labor
5/8/2024,3762,Check,350,0,nan,Contract Labor
5/13/2024,3763,Check,1450,0,nan,Contract Labor
5/14/2024,3764,Check,2500,0,nan,Contract Labor
5/16/2024,3765,Check,1300,0,nan,Contract Labor
5/16/2024,3766,Check,4500,0,nan,Contract Labor
5/15/2024,3767,Check,2059.92,0,nan,Contract Labor
5/16/2024,3768,Check,1422,0,nan,Contract Labor
5/17/2024,3769,Check,6250,0,nan,Contract Labor
5/17/2024,3770,Check,4225,0,nan,Contract Labor
5/16/2024,3771,Check,250,0,nan,Contract Labor
5/16/2024,3772,Check,500,0,nan,Contract Labor
5/15/2024,3773,Check,1703.07,0,nan,Contract Labor
5/15/2024,3774,Check,1250,0,nan,Contract Labor
5/16/2024,3775,Check,2748.86,0,nan,Contract Labor
5/20/2024,3776,Check,2337,0,nan,Contract Labor
5/15/2024,3777,Check,1320,0,nan,Contract Labor
5/16/2024,3778,Check,2260,0,nan,Contract Labor
5/17/2024,3779,Check,2045,0,nan,Contract Labor
5/15/2024,3780,Check,2895,0,nan,Contract Labor
5/16/2024,3781,Check,2500,0,nan,Contract Labor
5/21/2024,3782,Check,1320,0,nan,Contract Labor
5/29/2024,3783,Check,5000,0,nan,Contract Labor
5/29/2024,3784,Check,2500,0,nan,Contract Labor
6/4/2024,3785,Check,1300,0,nan,Contract Labor
5/31/2024,3787,Check,3663.88,0,nan,Contract Labor
5/31/2024,3788,Check,1722,0,nan,Contract Labor
6/4/2024,3789,Check,3085,0,nan,Contract Labor
6/4/2024,3790,Check,6020,0,nan,Contract Labor
6/3/2024,3791,Check,250,0,nan,Contract Labor
6/11/2024,3792,Check,500,0,nan,Contract Labor
5/31/2024,3793,Check,1952.43,0,nan,Contract Labor
6/4/2024,3794,Check,1050,0,nan,Contract Labor
6/3/2024,3795,Check,2648.86,0,nan,Contract Labor
6/4/2024,3796,Check,2337,0,nan,Contract Labor
6/3/2024,3797,Check,1320,0,nan,Contract Labor
6/3/2024,3798,Check,2260,0,nan,Contract Labor
6/4/2024,3799,Check,2045,0,nan,Contract Labor
5/31/2024,3800,Check,2375,0,nan,Contract Labor
6/3/2024,3801,Check,2900,0,nan,Contract Labor
6/1/2024,3802,Check,4512.7,0,nan,Contract Labor
6/20/2024,3803,Check,400,0,nan,Contract Labor
6/7/2024,3804,Check,7500,0,nan,Contract Labor
6/17/2024,3805,Check,2800,0,nan,Contract Labor
6/15/2024,3807,Check,4351,0,nan,Contract Labor
6/15/2024,3808,Check,3183.88,0,nan,Contract Labor
6/14/2024,3809,Check,1717,0,nan,Contract Labor
6/18/2024,3810,Check,3635,0,nan,Contract Labor
6/18/2024,3811,Check,6020,0,nan,Contract Labor
6/17/2024,3812,Check,250,0,nan,Contract Labor
6/17/2024,3813,Check,500,0,nan,Contract Labor
6/15/2024,3814,Check,2648.86,0,nan,Contract Labor
6/15/2024,3815,Check,1772.43,0,nan,Contract Labor
6/17/2024,3816,Check,1050,0,nan,Contract Labor
6/17/2024,3817,Check,2529,0,nan,Contract Labor
6/17/2024,3818,Check,1260,0,nan,Contract Labor
6/18/2024,3819,Check,2420,0,nan,Contract Labor
6/18/2024,3820,Check,2045,0,nan,Contract Labor
6/17/2024,3821,Check,2375,0,nan,Contract Labor
6/18/2024,3822,Check,1300,0,nan,Contract Labor
7/16/2024,3823,Check,180,0,nan,Contract Labor
6/24/2024,3824,Check,3000,0,nan,Contract Labor
6/28/2024,3825,Check,2000,0,nan,Contract Labor
7/3/2024,3826,Check,4765,0,nan,Contract Labor
7/1/2024,3827,Check,1437.03,0,nan,Contract Labor
7/3/2024,3828,Check,6695,0,nan,Contract Labor
7/3/2024,3829,Check,3775,0,nan,Contract Labor
7/2/2024,3830,Check,250,0,nan,Contract Labor
7/1/2024,3831,Check,2844.9,0,nan,Contract Labor
7/1/2024,3832,Check,3443.88,0,nan,Contract Labor
7/1/2024,3833,Check,1850.35,0,nan,Contract Labor
7/2/2024,3834,Check,1140,0,nan,Contract Labor
7/1/2024,3835,Check,2050,0,nan,Contract Labor
7/3/2024,3836,Check,2145,0,nan,Contract Labor
7/2/2024,3837,Check,2100,0,nan,Contract Labor
7/3/2024,3838,Check,2045,0,nan,Contract Labor
7/3/2024,3839,Check,500,0,nan,Contract Labor
7/1/2024,3840,Check,2375,0,nan,Contract Labor
7/2/2024,3841,Check,400,0,nan,Contract Labor
7/9/2024,3842,Check,1300,0,nan,Contract Labor
7/5/2024,3843,Check,3000,0,nan,Contract Labor
7/17/2024,3844,Check,700,0,nan,Contract Labor
7/30/2024,3845,Check,1670,0,nan,Contract Labor
7/22/2024,3846,Check,5578.12,0,nan,Contract Labor
7/16/2024,3847,Check,2000,0,nan,Contract Labor
7/16/2024,3848,Check,1300,0,nan,Contract Labor
7/15/2024,3849,Check,5331,0,nan,Contract Labor
7/15/2024,3850,Check,3269.51,0,nan,Contract Labor
7/15/2024,3851,Check,1472,0,nan,Contract Labor
7/17/2024,3852,Check,2940,0,nan,Contract Labor
7/17/2024,3853,Check,6020,0,nan,Contract Labor
7/18/2024,3854,Check,250,0,nan,Contract Labor
7/16/2024,3855,Check,140,0,nan,Contract Labor
7/15/2024,3856,Check,2994.9,0,nan,Contract Labor
7/16/2024,3857,Check,2439.41,0,nan,Contract Labor
7/15/2024,3858,Check,2050,0,nan,Contract Labor
7/16/2024,3859,Check,2145,0,nan,Contract Labor
7/15/2024,3860,Check,1140,0,nan,Contract Labor
7/17/2024,3861,Check,2100,0,nan,Contract Labor
7/15/2024,3862,Check,1970,0,nan,Contract Labor
7/15/2024,3863,Check,2375,0,nan,Contract Labor
7/16/2024,3864,Check,500,0,nan,Contract Labor
7/17/2024,3865,Check,14885.24,0,nan,Contract Labor
7/22/2024,3866,Check,420,0,nan,Contract Labor
7/19/2024,3868,Check,985,0,nan,Contract Labor
7/24/2024,3869,Check,350,0,nan,Contract Labor
7/24/2024,3870,Check,3000,0,nan,Contract Labor
7/26/2024,3871,Check,2800,0,nan,Contract Labor
8/2/2024,3872,Check,1300,0,nan,Contract Labor
8/5/2024,3873,Check,5057.4,0,nan,Contract Labor
8/2/2024,3874,Check,1814.51,0,nan,Contract Labor
8/1/2024,3875,Check,1472,0,nan,Contract Labor
8/5/2024,3876,Check,2075,0,nan,Contract Labor
8/5/2024,3877,Check,6245,0,nan,Contract Labor
8/6/2024,3878,Check,250,0,nan,Contract Labor
8/7/2024,3879,Check,610,0,nan,Contract Labor
8/2/2024,3880,Check,500,0,nan,Contract Labor
8/1/2024,3881,Check,2964.9,0,nan,Contract Labor
8/1/2024,3882,Check,2764.41,0,nan,Contract Labor
8/1/2024,3883,Check,2050,0,nan,Contract Labor
8/2/2024,3884,Check,2337,0,nan,Contract Labor
8/2/2024,3885,Check,1320,0,nan,Contract Labor
8/2/2024,3886,Check,2260,0,nan,Contract Labor
8/1/2024,3887,Check,1820,0,nan,Contract Labor
8/1/2024,3888,Check,3175,0,nan,Contract Labor
8/2/2024,3889,Check,650,0,nan,Contract Labor
8/3/2024,3890,Check,1500,0,nan,Contract Labor
8/7/2024,3891,Check,250,0,nan,Contract Labor
8/14/2024,3892,Check,2500,0,nan,Contract Labor
8/15/2024,3893,Check,2500,0,nan,Contract Labor
8/16/2024,3894,Check,500,0,nan,Contract Labor
8/16/2024,3895,Check,1638,0,nan,Contract Labor
8/16/2024,3896,Check,5528,0,nan,Contract Labor
8/15/2024,3897,Check,837.75,0,nan,Contract Labor
8/15/2024,3898,Check,1472,0,nan,Contract Labor
8/19/2024,3899,Check,1375,0,nan,Contract Labor
8/19/2024,3900,Check,6020,0,nan,Contract Labor
8/16/2024,3901,Check,250,0,nan,Contract Labor
8/29/2024,3902,Check,170,0,nan,Contract Labor
8/19/2024,3903,Check,570,0,nan,Contract Labor
8/15/2024,3904,Check,2844.9,0,nan,Contract Labor
8/15/2024,3905,Check,2404.41,0,nan,Contract Labor
8/16/2024,3906,Check,1550,0,nan,Contract Labor
8/16/2024,3907,Check,2529,0,nan,Contract Labor
8/16/2024,3908,Check,700,0,nan,Contract Labor
8/19/2024,3909,Check,692,0,nan,Contract Labor
8/16/2024,3910,Check,1380,0,nan,Contract Labor
8/16/2024,3911,Check,2420,0,nan,Contract Labor
8/15/2024,3912,Check,3000,0,nan,Contract Labor
8/15/2024,3913,Check,1820,0,nan,Contract Labor
8/15/2024,3914,Check,3175,0,nan,Contract Labor
8/16/2024,3915,Check,650,0,nan,Contract Labor
8/15/2024,3916,Check,2500,0,nan,Contract Labor
8/27/2024,3917,Check,1240,0,nan,Contract Labor
8/15/2024,3918,Check,357.5,0,nan,Contract Labor
8/27/2024,3919,Check,2500,0,nan,Contract Labor
8/23/2024,3920,Check,1902.5,0,nan,Contract Labor
8/26/2024,3921,Check,4697.82,0,nan,Contract Labor
8/28/2024,3923,Check,2500,0,nan,Contract Labor
8/31/2024,3924,Check,500,0,nan,Contract Labor
8/30/2024,3925,Check,1200,0,nan,Contract Labor
8/30/2024,3928,Check,1522,0,nan,Contract Labor
8/30/2024,3934,Check,2932.92,0,nan,Contract Labor
8/30/2024,3935,Check,2228.79,0,nan,Contract Labor
8/31/2024,3936,Check,1000,0,nan,Contract Labor
8/30/2024,3942,Check,3000,0,nan,Contract Labor
8/30/2024,3943,Check,1420,0,nan,Contract Labor
8/30/2024,3944,Check,3005,0,nan,Contract Labor
1/16/2024,0,Cashier Check,1103,0,nan,Contract Labor
1/31/2024,0,Cashier Check,1103,0,nan,Contract Labor
2/14/2024,0,Cashier Check,1003,0,nan,Contract Labor
2/14/2024,0,Cashier Check,1103,0,nan,Contract Labor
2/29/2024,0,Cashier Check,1103,0,nan,Contract Labor
3/15/2024,0,Cashier Check,1103,0,nan,Contract Labor
3/28/2024,0,Cashier Check,1103,0,nan,Contract Labor
4/12/2024,0,Cashier Check,1800,0,nan,Contract Labor
4/12/2024,0,Cashier Check,1803,0,nan,Contract Labor
4/15/2024,0,Cashier Check,1103,0,nan,Contract Labor
4/29/2024,0,Cashier Check,1100,0,nan,Contract Labor
4/30/2024,0,Cashier Check,447.57,0,nan,Contract Labor
5/1/2024,0,Cashier Check,1503,0,nan,Contract Labor
7/2/2024,0,Cashier Check,803,0,nan,Contract Labor
1/11/2024,0,Amex,922,0,nan,Credit Card
1/22/2024,0,Amex,940.42,0,nan,Credit Card
2/12/2024,0,Amex,595,0,nan,Credit Card
2/12/2024,0,Amex,37.52,0,nan,Credit Card
3/7/2024,0,Amex,550,0,nan,Credit Card
4/10/2024,0,Amex,850,0,nan,Credit Card
5/10/2024,0,Amex,1000,0,nan,Credit Card
6/24/2024,0,Amex,2.15,0,nan,Credit Card
6/7/2024,0,Amex,1000,0,nan,Credit Card
7/5/2024,0,Amex,500,0,nan,Credit Card
7/9/2024,0,Amex,1190,0,nan,Credit Card
8/8/2024,0,Amex,1000,0,nan,Credit Card
1/16/2024,0,Citi,411.34,0,nan,Credit Card
1/2/2024,0,Citi,66.67,0,nan,Credit Card
2/13/2024,0,Citi,399.66,0,nan,Credit Card
2/2/2024,0,Citi,66.67,0,nan,Credit Card
3/13/2024,0,Citi,434.51,0,nan,Credit Card
3/4/2024,0,Citi,66.67,0,nan,Credit Card
4/15/2024,0,Citi,392.43,0,nan,Credit Card
4/2/2024,0,Citi,66.67,0,nan,Credit Card
5/14/2024,0,Citi,388.93,0,nan,Credit Card
5/2/2024,0,Citi,66.67,0,nan,Credit Card
6/13/2024,0,Citi,412.69,0,nan,Credit Card
6/4/2024,0,Citi,66.67,0,nan,Credit Card
7/15/2024,0,Citi,399.25,0,nan,Credit Card
7/2/2024,0,Citi,66.67,0,nan,Credit Card
8/13/2024,0,Citi,368.82,0,nan,Credit Card
8/2/2024,0,Citi,66.67,0,nan,Credit Card
1/8/2024,0,Crate & Barrel,134,0,nan,Credit Card
2/7/2024,0,Crate & Barrel,130,0,nan,Credit Card
3/6/2024,0,Crate & Barrel,129,0,nan,Credit Card
4/8/2024,0,Crate & Barrel,130,0,nan,Credit Card
5/6/2024,0,Crate & Barrel,126,0,nan,Credit Card
6/6/2024,0,Crate & Barrel,128,0,nan,Credit Card
7/8/2024,0,Crate & Barrel,123,0,nan,Credit Card
8/6/2024,0,Crate & Barrel,122,0,nan,Credit Card
1/19/2024,0,Jpmorgan Chase,0.31,0,nan,Credit Card
3/4/2024,0,Paypal,0.3,0,nan,Credit Card
1/23/2024,0,ACH Overdrawn Fee,34,0,nan,Fee
1/23/2024,0,ACH Overdrawn Fee,34,0,nan,Fee
2/9/2024,0,ACH Overdrawn Fee,34,0,nan,Fee
2/9/2024,0,ACH Overdrawn Fee,34,0,nan,Fee
2/9/2024,0,ACH Overdrawn Fee,34,0,nan,Fee
4/3/2024,0,ACH Overdrawn Fee,34,0,nan,Fee
4/4/2024,0,ACH Overdrawn Fee,34,0,nan,Fee
4/4/2024,0,ACH Overdrawn Fee,34,0,nan,Fee
4/5/2024,0,ACH Overdrawn Fee,34,0,nan,Fee
4/5/2024,0,ACH Overdrawn Fee,34,0,nan,Fee
2/8/2024,0,Bank Fee Credit,0,34,nan,Fee
2/8/2024,0,Bank Fee Credit,0,34,nan,Fee
2/8/2024,0,Bank Fee Credit,0,34,nan,Fee
2/8/2024,0,Bank Fee Credit,0,34,nan,Fee
2/8/2024,0,Bank Fee Credit,0,34,nan,Fee
1/18/2024,0,Bank Unpaid Fees,3.46,0,nan,Fee
4/17/2024,0,Bank Unpaid Fees,34,0,nan,Fee
4/2/2024,0,Bank Unpaid Fees,34,0,nan,Fee
4/3/2024,0,Bank Unpaid Fees,34,0,nan,Fee
6/4/2024,0,Bill Pay Fee,6.95,0,nan,Fee
7/2/2024,0,Bill Pay Fee,6.95,0,nan,Fee
8/6/2024,0,Bill Pay Fee,6.95,0,nan,Fee
1/18/2024,0,Check Overdrawn Fee,34,0,nan,Fee
1/23/2024,0,Check Overdrawn Fee,34,0,nan,Fee
1/23/2024,0,Check Overdrawn Fee,34,0,nan,Fee
1/23/2024,0,Check Overdrawn Fee,34,0,nan,Fee
1/5/2024,0,Check Overdrawn Fee,34,0,nan,Fee
1/5/2024,0,Check Overdrawn Fee,34,0,nan,Fee
1/5/2024,0,Check Overdrawn Fee,34,0,nan,Fee
2/9/2024,0,Check Overdrawn Fee,34,0,nan,Fee
4/19/2024,0,Check Overdrawn Fee,34,0,nan,Fee
4/19/2024,0,Check Overdrawn Fee,34,0,nan,Fee
4/4/2024,0,Check Overdrawn Fee,7.92,0,nan,Fee
4/4/2024,0,Check Overdrawn Fee,34,0,nan,Fee
4/4/2024,0,Check Overdrawn Fee,34,0,nan,Fee
4/5/2024,0,Check Overdrawn Fee,26.08,0,nan,Fee
