Date,Description,Debit,Credit,Cards,Purchase Type
2/8/2024,Deposit,0,15000,0,Revenue
2/8/2024,Deposit,0,649.5,0,Revenue
2/5/2024,Deposit,0,85.7,0,Revenue
2/3/2024,Deposit,0,3602.85,0,Revenue
2/2/2024,Deposit,0,11977.1,0,Revenue
2/2/2024,Deposit,0,6049.01,0,Revenue
2/2/2024,Deposit,0,7127.19,0,Revenue
1/31/2024,Deposit,0,200.26,0,Revenue
1/30/2024,Deposit,0,3279.26,0,Revenue
1/29/2024,Deposit,0,4555.51,0,Revenue
1/29/2024,Deposit,0,156.21,0,Revenue
1/26/2024,Deposit,0,4872,0,Revenue
1/26/2024,Deposit,0,4330,0,Revenue
1/26/2024,Deposit,0,1194.72,0,Revenue
1/26/2024,Deposit,0,687.39,0,Revenue
1/25/2024,Deposit,0,1082.51,0,Revenue
1/22/2024,Deposit,0,3872,0,Revenue
1/22/2024,Deposit,0,47430.66,0,Revenue
1/20/2024,Deposit,0,1082.5,0,Revenue
1/18/2024,Deposit,0,1500,0,Revenue
1/18/2024,Deposit,0,1550,0,Revenue
1/18/2024,Deposit,0,3279.26,0,Revenue
1/18/2024,Deposit,0,1300,0,Revenue
1/16/2024,Deposit,0,2644.88,0,Revenue
1/16/2024,Deposit,0,2000,0,Revenue
1/13/2024,Deposit,0,2644.56,0,Revenue
1/11/2024,Deposit,0,976.42,0,Revenue
1/10/2024,Deposit,0,17710.82,0,Revenue
1/9/2024,Deposit,0,700,0,Revenue
1/9/2024,Deposit,0,1255.35,0,Revenue
1/8/2024,Deposit,0,0.24,0,Revenue
1/8/2024,Deposit,0,2241.39,0,Revenue
1/4/2024,Deposit,0,5251.21,0,Revenue
1/4/2024,Deposit,0,2069.58,0,Revenue
1/4/2024,Deposit,0,1300,0,Revenue
1/2/2024,Deposit,0,13061.4,0,Revenue
4/5/2024,Deposit,0,2000,0,Revenue
3/20/2024,Deposit,0,8000,0,Revenue
3/19/2024,Deposit,0,6000,0,Revenue
3/14/2024,Deposit,0,6603.25,0,Revenue
3/11/2024,Deposit,0,11500,0,Revenue
2/23/2024,Deposit,0,11000,0,Revenue
2/20/2024,Deposit,0,3000,0,Revenue
2/12/2024,Deposit,0,10000,0,Revenue
1/29/2024,Deposit,0,13000,0,Revenue
1/23/2024,Deposit,0,4000,0,Revenue
1/18/2024,Deposit,0,200,0,Revenue
1/17/2024,Deposit,0,416.76,0,Revenue
1/12/2024,Deposit,0,7000,0,Revenue
1/8/2024,Deposit,0,2200,0,Revenue
1/4/2024,Deposit,0,2000,0,Revenue
1/9/2024,El Nuevo Mexico,107.11,0,0940,Food
2/13/2024,Exxon,19.45,0,2591,Gas
2/1/2024,Exxon,31.85,0,2994,Gas
3/14/2024,Farmers,1061.25,0,0,Insurance
2/14/2024,Farmers,1061.25,0,0,Insurance
1/16/2024,Farmers,1061.25,0,0,Insurance
1/5/2024,Ferguson,639.6,0,2591,Supplies
4/1/2024,Financial Pacific,524.83,0,0,Supplies
3/1/2024,Financial Pacific,524.83,0,0,Supplies
2/1/2024,Financial Pacific,524.83,0,0,Supplies
1/9/2024,Financial Pacific,559.83,0,0,Supplies
3/1/2024,Firmspace,154.5,0,2994,Marketing
2/2/2024,Firmspace,150,0,0,Marketing
1/3/2024,Firmspace,150,0,0,Marketing
3/28/2024,Fortiva,58.33,0,0,Loan
2/28/2024,Fortiva,58.33,0,0,Loan
1/29/2024,Fortiva,58.33,0,0,Loan
4/1/2024,Google Friber,103,0,2591,Phone/Internet
2/13/2024,Google Friber,157.93,0,2591,Phone/Internet
3/26/2024,Gusto,2407.92,0,0,Tax
3/12/2024,Gusto,2496.87,0,0,Tax
2/26/2024,Gusto,2855.83,0,0,Tax
2/13/2024,Gusto,2795.2,0,0,Tax
1/30/2024,Gusto,2795.22,0,0,Tax
1/9/2024,Gusto,1998.38,0,0,Tax
4/3/2024,Gusto Fee,87.42,0,0,Fee
3/4/2024,Gusto Fee,87.42,0,0,Fee
2/13/2024,Gusto Fee,184.7,0,0,Fee
2/2/2024,Gusto Fee,87.42,0,0,Fee
1/30/2024,Gusto Fee,184.7,0,0,Fee
1/9/2024,Gusto Fee,184.7,0,0,Fee
1/3/2024,Gusto Fee,81.02,0,0,Fee
1/4/2024,Habanero Mexican Cafe,151,0,2591,Food
3/4/2024,Harmony Dental Wellness,566,0,0940,Medical
1/16/2024,Harmony Dental Wellness,698,0,0940,Medical
1/9/2024,Harmony Dental Wellness,927,0,0940,Medical
3/20/2024,Health Care Service,3020.47,0,0,Medical
2/21/2024,Health Care Service,3020.47,0,0,Medical
1/23/2024,Health Care Service,3020.47,0,0,Medical
3/29/2024,HEB Fuel,56.74,0,0940,Gas
2/28/2024,HEB Fuel,58.04,0,2994,Gas
2/5/2024,HEB Fuel,52.33,0,2591,Gas
2/24/2024,HEB Grocery,40,0,0940,Groceries
1/30/2024,HEB Grocery,38.26,0,2994,Groceries
1/9/2024,HEB Grocery,38.35,0,2591,Groceries
3/30/2024,Hi-Tech Power Wash,743.75,0,2994,Professional Service
3/22/2024,Hi-Tech Power Wash,2417.18,0,2591,Professional Service
3/9/2024,Hi-Tech Power Wash,212.5,0,2994,Professional Service
3/9/2024,Hi-Tech Power Wash,717.18,0,2994,Professional Service
3/9/2024,Hi-Tech Power Wash,340,0,2994,Professional Service
2/28/2024,Hi-Tech Power Wash,371.87,0,2994,Professional Service
2/22/2024,Hi-Tech Power Wash,796.87,0,2994,Professional Service
2/10/2024,Hi-Tech Power Wash,159.37,0,2591,Professional Service
